id,arxiv_id,title,authors,year,category,keywords,summary
1,1706.03762,Attention Is All You Need,"Vaswani, Shazeer, Parmar, Uszkoreit, Jones, Gomez, Kaiser, Polosukhin",2017,NLP,"transformer, self-attention, sequence modeling, encoder-decoder","Introduces the Transformer, a sequence-to-sequence architecture built entirely from self-attention layers instead of recurrence or convolution. It became the backbone of nearly all modern large language models because it parallelizes training and captures long-range dependencies more efficiently than RNNs."
2,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"Devlin, Chang, Lee, Toutanova",2018,NLP,"pretraining, masked language model, transfer learning, bidirectional","Proposes pretraining a deep bidirectional Transformer using a masked-token prediction objective, then fine-tuning it on downstream tasks. This two-stage recipe set new state-of-the-art results across many language understanding benchmarks and popularized transfer learning in NLP."
3,2005.14165,Language Models are Few-Shot Learners,"Brown, Mann, Ryder, Subbiah, et al.",2020,NLP,"GPT-3, few-shot learning, large language models, in-context learning","Describes GPT-3, a 175-billion-parameter autoregressive language model, and shows that scaling model size lets it perform new tasks from just a few in-context examples without gradient updates, a capability later called in-context learning."
4,1301.3781,Efficient Estimation of Word Representations in Vector Space,"Mikolov, Chen, Corrado, Dean",2013,NLP,"word2vec, embeddings, distributed representations","Presents the word2vec CBOW and skip-gram models for learning dense word embeddings from large text corpora efficiently, showing that the resulting vectors capture meaningful syntactic and semantic relationships through simple vector arithmetic."
5,1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate,"Bahdanau, Cho, Bengio",2014,NLP,"attention mechanism, seq2seq, machine translation","Introduces the additive attention mechanism for encoder-decoder translation models, letting the decoder dynamically focus on relevant source words rather than compressing the whole sentence into one fixed vector, which was the direct precursor to Transformer attention."
6,1802.05365,Deep Contextualized Word Representations,"Peters, Neumann, Iyyer, Gardner, Clark, Lee, Zettlemoyer",2018,NLP,"ELMo, contextual embeddings, bidirectional LSTM","Introduces ELMo, word representations derived from a deep bidirectional LSTM language model, showing that context-dependent embeddings substantially improve performance over static word vectors on multiple NLP tasks."
7,1907.11692,RoBERTa: A Robustly Optimized BERT Pretraining Approach,"Liu, Ott, Goyal, Du, Joshi, Chen, Levy, Lewis, Zettlemoyer, Stoyanov",2019,NLP,"BERT variant, pretraining, hyperparameter tuning","Shows that BERT was significantly undertrained and that longer training, larger batches, more data, and removing the next-sentence-prediction objective yield sizable performance gains without changing the underlying architecture."
8,1910.01108,DistilBERT: A Distilled Version of BERT,"Sanh, Debut, Chaumond, Wolf",2019,NLP,"knowledge distillation, model compression, efficient inference","Uses knowledge distillation during pretraining to compress BERT into a smaller model that retains about 97% of its language-understanding performance while being 40% smaller and 60% faster at inference."
9,1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Raffel, Shazeer, Roberts, Lee, Narang, Matena, Zhou, Li, Liu",2019,NLP,"T5, text-to-text, transfer learning","Proposes casting every NLP task as text-to-text and systematically studies pretraining objectives, architectures, and dataset scale, resulting in the T5 model family and the large C4 web-text corpus."
10,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Lewis, Perez, Piktus, Petroni, Karpukhin, Goyal, et al.",2020,NLP,"RAG, retrieval, generation, open-domain QA","Combines a pretrained retriever that fetches relevant documents with a pretrained sequence-to-sequence generator, so the model can condition its answers on retrieved evidence rather than relying only on parameters — the basis of most modern retrieval-augmented chatbots."
